xh	xm	sfz	lxdh	nj	bj	bzr	zy	xy	xx	cjsj
16041413	陈某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041414	方某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041415	高某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041416	刘某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041417	罗某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041418	罗某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041419	涂某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041420	温某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041421	吴某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041422	曾某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041423	张某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041424	张某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041425	张某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041427	梁某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041428	陆某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041429	胡某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041501	杨某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041502	陈某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041503	林某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041504	朱某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041505	陈某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041506	何某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041507	杨某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041508	罗某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041509	王某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041510	肖某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041511	李某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041512	陆某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041513	陈某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041514	陈某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041515	邓某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041516	胡某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041517	黄某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041518	刘某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041519	罗某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041520	明某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041521	苏某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041522	孙某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041523	谭某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041524	吴某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041525	杨某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041526	朱某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041527	安某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041529	于某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041530	丁某某	111111	18270234361	2016	160415	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042101	王某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042102	蒋某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042103	周某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042104	黄某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042105	刘某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042107	万某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042108	钟某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042109	粟某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042110	詹某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042111	罗某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042112	谢某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042113	杨某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042114	曹某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042115	陈某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042116	周某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042117	李某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042118	陈某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042119	付某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042120	林某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042121	刘某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042122	刘某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042123	潘某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042124	唐某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042125	田某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042126	魏某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042127	熊某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042128	徐某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042129	易某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042130	易某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042131	张某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042132	钟某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042133	邹某某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042134	罗某	111111	18270234361	2016	160421	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042201	梁某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042202	周某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042203	张某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042204	黄某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042205	李某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042206	王某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042207	尹某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042208	王某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042209	潘某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042210	甘某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042212	莫某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042213	王某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042214	苏某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042215	李某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042216	李某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042217	金某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042218	陈某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042219	陈某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042220	陈某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042221	杜某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042222	胡某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042223	江某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042224	龙某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042225	彭某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042226	汪某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042227	吴某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042228	杨某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042229	余某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042230	郑某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042231	钟某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042232	邹某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042233	唐某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042234	张某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042235	胡某某	111111	18270234361	2016	160422	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042301	陈某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042302	李某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042303	林某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042304	刘某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042305	曾某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042306	钟某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042307	周某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042308	舒某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042309	谢某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042311	周某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042312	潘某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042313	周某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042314	关某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042315	黄某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042316	谢某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042317	陈某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042318	陈某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042319	韩某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042320	蓝某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042321	李某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042322	刘某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042323	闵某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16042324	屈某某	111111	18270234361	2016	160423	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
